periodo,provincia,provincia_id,departamento,departamento_id,municipio,municipio_id,titulares
2022-08-01,Buenos Aires,06,25 de Mayo,06854,25 De Mayo,068540854,656
2022-08-01,Buenos Aires,06,9 de Julio,06588,9 De Julio,065880588,465
2022-08-01,Buenos Aires,06,Adolfo Alsina,06007,Adolfo Alsina,060070007,430
2022-08-01,Buenos Aires,06,Adolfo Gonzales Chaves,06014,Adolfo Gonzales Chaves,060140014,441
2022-08-01,Buenos Aires,06,Alberti,06021,Alberti,060210021,162
2022-08-01,Buenos Aires,06,Almirante Brown,06028,Almirante Brown,060280028,31161
2022-08-01,Buenos Aires,06,Arrecifes,06077,Arrecifes,060770077,334
2022-08-01,Buenos Aires,06,Avellaneda,06035,Avellaneda,060350035,17751
2022-08-01,Buenos Aires,06,Ayacucho,06042,Ayacucho,060420042,324
2022-08-01,Buenos Aires,06,Azul,06049,Azul,060490049,771
2022-08-01,Buenos Aires,06,Bahía Blanca,06056,Bahia Blanca,060560056,3267
2022-08-01,Buenos Aires,06,Balcarce,06063,Balcarce,060630063,503
2022-08-01,Buenos Aires,06,Baradero,06070,Baradero,060700070,943
2022-08-01,Buenos Aires,06,Benito Juárez,06084,Benito Juarez,060840084,249
2022-08-01,Buenos Aires,06,Berazategui,06091,Berazategui,060910091,22215
2022-08-01,Buenos Aires,06,Berisso,06098,Berisso,060980098,5264
2022-08-01,Buenos Aires,06,Bolívar,06105,Bolivar,061050105,312
2022-08-01,Buenos Aires,06,Bragado,06112,Bragado,061120112,903
2022-08-01,Buenos Aires,06,Brandsen,06119,Brandsen,061190119,1835
2022-08-01,Buenos Aires,06,Campana,06126,Campana,061260126,2103
2022-08-01,Buenos Aires,06,Capitán Sarmiento,06140,Capitan Sarmiento,061400140,81
2022-08-01,Buenos Aires,06,Carlos Casares,06147,Carlos Casares,061470147,468
2022-08-01,Buenos Aires,06,Carlos Tejedor,06154,Carlos Tejedor,061540154,88
2022-08-01,Buenos Aires,06,Carmen de Areco,06161,Carmen De Areco,061610161,172
